,time,open,close,high,low,volume
1051,10 08:02,0.74594,0.74583,0.74594,0.74583,0.11
1052,10 08:03,0.7458,0.74588,0.74594,0.74572,0.17
1053,10 08:04,0.74592,0.74576,0.74596,0.74574,0.09
1054,10 08:05,0.74578,0.74594,0.74594,0.74578,0.08
1055,10 08:06,0.74588,0.74606,0.74606,0.74588,0.09
1056,10 08:07,0.746,0.74594,0.746,0.74594,0.02
1057,10 08:08,0.74595,0.74596,0.74607,0.74595,0.07
1058,10 08:09,0.746,0.74603,0.74603,0.746,0.02
1059,10 08:10,0.74607,0.74614,0.74614,0.74607,0.03
1060,10 08:11,0.7461,0.74608,0.7461,0.74603,0.06
1061,10 08:12,0.74602,0.7461,0.74616,0.74602,0.07
1062,10 08:13,0.7461,0.74595,0.7461,0.74595,0.09
1063,10 08:15,0.74591,0.74584,0.74594,0.74581,0.12
1064,10 08:16,0.7459,0.74588,0.746,0.74588,0.13
1065,10 08:17,0.74584,0.74586,0.74594,0.74584,0.07
1066,10 08:18,0.74587,0.7459,0.74591,0.74586,0.05
1067,10 08:19,0.74584,0.74578,0.74584,0.74578,0.03
1068,10 08:20,0.74573,0.74588,0.74594,0.74566,0.16
1069,10 08:21,0.74582,0.7456,0.74582,0.74552,0.23
1070,10 08:22,0.74554,0.74562,0.74574,0.74552,0.19
1071,10 08:23,0.74563,0.7457,0.74578,0.74563,0.13
1072,10 08:24,0.74574,0.74576,0.74576,0.74568,0.1
1073,10 08:25,0.7458,0.74566,0.74586,0.74564,0.12
1074,10 08:26,0.74571,0.74559,0.74571,0.74556,0.18
1075,10 08:27,0.74563,0.74563,0.74563,0.74563,0.01
1076,10 08:28,0.74566,0.74568,0.7457,0.74566,0.03
1077,10 08:29,0.74564,0.74572,0.74575,0.74564,0.08
1078,10 08:30,0.7457,0.74556,0.7457,0.74556,0.22
1079,10 08:31,0.74553,0.74564,0.74564,0.74553,0.03
1080,10 08:32,0.74562,0.74555,0.74562,0.74555,0.08
1081,10 08:33,0.74552,0.74548,0.74564,0.74548,0.09
1082,10 08:34,0.74543,0.74536,0.74543,0.74536,0.03
1083,10 08:35,0.74542,0.7452,0.74548,0.7452,0.22
1084,10 08:36,0.74514,0.74518,0.74523,0.74514,0.18
1085,10 08:37,0.74519,0.74519,0.74519,0.74519,0.01
1086,10 08:38,0.74516,0.7451,0.74516,0.7451,0.02
1087,10 08:39,0.74507,0.74481,0.74507,0.74471,0.26
1088,10 08:40,0.74476,0.74481,0.74486,0.7447,0.13
1089,10 08:41,0.74477,0.74474,0.74481,0.7447,0.08
1090,10 08:42,0.7447,0.74452,0.7447,0.74448,0.16
1091,10 08:43,0.74449,0.74461,0.74466,0.74449,0.16
1092,10 08:44,0.74457,0.74462,0.74462,0.7445,0.1
1093,10 08:45,0.74461,0.74444,0.74461,0.74444,0.07
1094,10 08:46,0.7445,0.74456,0.74462,0.74446,0.13
1095,10 08:47,0.74452,0.7446,0.7446,0.74452,0.04
1096,10 08:48,0.74464,0.74478,0.7448,0.74464,0.09
1097,10 08:49,0.74478,0.74464,0.74478,0.74464,0.1
1098,10 08:50,0.74464,0.74446,0.74464,0.74446,0.13
1099,10 08:51,0.74443,0.74436,0.74443,0.74436,0.03
1100,10 08:52,0.7443,0.74424,0.74434,0.74424,0.05
1101,10 08:53,0.74424,0.74422,0.74436,0.74413,0.27
1102,10 08:54,0.74415,0.7442,0.74422,0.74415,0.06
1103,10 08:55,0.74426,0.7442,0.74426,0.74418,0.12
1104,10 08:56,0.74424,0.74443,0.74443,0.74424,0.06
1105,10 08:57,0.74446,0.74434,0.74446,0.74434,0.04
1106,10 08:58,0.74428,0.74432,0.74432,0.74422,0.09
1107,10 08:59,0.74436,0.74434,0.7444,0.74434,0.03
1108,10 09:00,0.74428,0.7441,0.74428,0.74404,0.15
1109,10 09:01,0.74416,0.7441,0.74416,0.74409,0.11
1110,10 09:02,0.74416,0.74408,0.74417,0.74402,0.08
1111,10 09:03,0.74404,0.74384,0.74407,0.7438,0.28
1112,10 09:04,0.7439,0.74366,0.7439,0.74358,0.31
1113,10 09:05,0.7437,0.74372,0.74376,0.74346,0.26
1114,10 09:06,0.74377,0.74372,0.7438,0.74372,0.09
1115,10 09:07,0.74368,0.74377,0.74377,0.74362,0.07
1116,10 09:08,0.74384,0.74384,0.7439,0.74383,0.11
1117,10 09:09,0.74381,0.7437,0.74382,0.7437,0.12
1118,10 09:10,0.74371,0.74392,0.74393,0.74371,0.09
1119,10 09:11,0.74388,0.74398,0.74398,0.74388,0.04
1120,10 09:12,0.74402,0.74402,0.74412,0.74402,0.07
1121,10 09:13,0.74408,0.74404,0.74408,0.74396,0.11
1122,10 09:14,0.74404,0.74404,0.74404,0.74404,0.03
1123,10 09:15,0.74408,0.74411,0.74411,0.74408,0.02
1124,10 09:16,0.74408,0.7442,0.7442,0.74408,0.08
1125,10 09:17,0.74418,0.74414,0.74422,0.74407,0.21
1126,10 09:18,0.74408,0.74419,0.74421,0.74402,0.14
1127,10 09:19,0.74416,0.7442,0.74422,0.74416,0.06
1128,10 09:20,0.74418,0.74434,0.74436,0.74418,0.09
1129,10 09:21,0.74434,0.7443,0.74436,0.74426,0.14
1130,10 09:22,0.7443,0.74428,0.7443,0.74428,0.02
1131,10 09:23,0.74434,0.74435,0.74444,0.74434,0.06
1132,10 09:24,0.74438,0.74435,0.74438,0.74435,0.02
1133,10 09:25,0.74441,0.74434,0.74441,0.74434,0.03
1134,10 09:26,0.74439,0.74436,0.74444,0.74436,0.06
1135,10 09:27,0.74442,0.74446,0.74447,0.74442,0.04
1136,10 09:28,0.74444,0.74416,0.74444,0.74416,0.1
1137,10 09:29,0.74422,0.74422,0.74428,0.74417,0.06
1138,10 09:30,0.74428,0.74432,0.74432,0.74412,0.27
1139,10 09:31,0.74427,0.74428,0.74428,0.74427,0.03
1140,10 09:32,0.74429,0.74432,0.74438,0.74429,0.16
1141,10 09:34,0.74434,0.74434,0.74434,0.74434,0.01
1142,10 09:35,0.74438,0.74434,0.7444,0.74434,0.08
1143,10 09:36,0.74438,0.7443,0.74438,0.7443,0.03
1144,10 09:37,0.74426,0.74423,0.74426,0.74423,0.02
1145,10 09:38,0.74428,0.74424,0.74434,0.7442,0.07
1146,10 09:39,0.7443,0.74422,0.74432,0.74422,0.06
1147,10 09:40,0.74428,0.7442,0.74428,0.7442,0.03
1148,10 09:41,0.74424,0.74425,0.74431,0.74424,0.04
1149,10 09:42,0.74425,0.7442,0.74426,0.7442,0.03
1150,10 09:43,0.74417,0.74417,0.74417,0.74417,0.01
